ID,URL,Source_Domain,Source_Type,Title,Snippet,Publish_Date,Category_Guess,Score,Reason,Status,Collected_By,Added_On,Last_Checked,RepFlag,has_CVE,has_TID,has_IOC,has_MiningTok,has_NFSTok,has_SSHTok,SigFlag,Quality2,Quality4,__SelectedCategory
,https://www.huntress.com/blog/threat-advisory-xmrig-crypto-mining-by-way-of-teamviewer,www.huntress.com,RSS,Threat Advisory: XMRig Cryptomining By Way Of TeamViewer,Huntress has recently seen an uptick in compromised TeamViewer accounts being used to install the XMRig cryptocurrency miner. Dive into the analysis here.,2023-05-30T00:00:00+00:00,Cryptomining on HPC,0.7957,"dom_w=0.75, rec=0.94, cat_hits=3, sig=0",New,,2025-09-05T19:23:41.087281,,1,0,0,0,1,0,0,1,2,1,Cryptomining on HPC
,https://securelist.com/malware-report-q2-2025-pc-iot-statistics/117421/,securelist.com,RSS,IT threat evolution in Q2 2025. Non-mobile statistics,"The report presents statistics for Windows, macOS, IoT, and other threats, including ransomware, miners, local and web-based threats, for Q2 2025.",2025-09-05T09:00:23+00:00,Cryptomining on HPC,0.6633,"dom_w=0.8, rec=1.0, cat_hits=1, sig=0",New,,2025-09-05T18:05:38.440183,,1,0,0,0,0,0,0,0,1,1,Cryptomining on HPC
,https://www.huntress.com/blog/faq-asus-liveupdate-attack-operation-shadowhammer-9fc9c03b2da9,www.huntress.com,RSS,Rapid Response: ASUS Live Update Attack (Operation ShadowHammer),"Periodically, a large scale cybersecurity issue requires “all hands on deck” from the Huntress Team (see WannaCry, Kaseya Cryptominer, GANDGRAB outbreak). The unfolding ASUS Live Update fiasco also happens to be one of those moments. We’ve created this blog is to provide simple answers to a complex supply chain attack affecting global IT Departments.",2019-03-26T05:00:00+00:00,Cryptomining on HPC,0.6006,"dom_w=0.75, rec=0.85, cat_hits=1, sig=0",New,,2025-09-08T23:34:11.263821,,1,0,0,0,0,0,0,0,1,1,Cryptomining on HPC
,https://www.huntress.com/blog/confluence-to-cerber-exploitation-of-cve-2023-22518-for-ransomware-deployment,www.huntress.com,RSS,Confluence to Cerber: Exploitation of ​​CVE-2023-22518,CVE-2023-22518 is being exploited in Confluence for Cerber ransomware deployment. Read up on Huntress’ observations and mitigation guidance.,2023-11-07T00:00:00+00:00,NFS / File-Share Exposure,0.7823,"dom_w=0.75, rec=0.95, cat_hits=2, sig=2",New,,2025-09-05T19:23:41.085022,,1,1,0,0,0,0,0,1,2,2,NFS / File-Share Exposure
,https://thedfirreport.com/2025/05/19/another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware/,thedfirreport.com,RSS,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,"Key Takeaways The DFIR Report Services Table of Contents: Case Summary In late June 2024, an unpatched Confluence server was compromised via CVE-2023-22527, a template injection vulnerability, first from IP &#8230; <a class=""more-link"" href=""https://thedfirreport.com/2025/05/19/another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware/"">Read More</a>",2025-05-19T00:05:39+00:00,NFS / File-Share Exposure,0.7452,"dom_w=0.85, rec=0.99, cat_hits=1, sig=2",New,,2025-09-08T23:34:25.169752,,1,1,0,0,0,0,0,1,2,2,NFS / File-Share Exposure
,https://thedfirreport.com/2025/02/24/confluence-exploit-leads-to-lockbit-ransomware/,thedfirreport.com,RSS,Confluence Exploit Leads to LockBit Ransomware,"Key Takeaways Case Summary The intrusion started with the exploitation of CVE-2023-22527, a critical remote code execution vulnerability in Confluence, against a Windows server. The first indication of threat actor &#8230; <a class=""more-link"" href=""https://thedfirreport.com/2025/02/24/confluence-exploit-leads-to-lockbit-ransomware/"">Read More</a>",2025-02-24T00:06:37+00:00,NFS / File-Share Exposure,0.7435,"dom_w=0.85, rec=0.99, cat_hits=1, sig=2",New,,2025-09-08T23:34:25.170214,,1,1,0,0,0,0,0,1,2,2,NFS / File-Share Exposure
,https://www.huntress.com/blog/obscura-ransomware-variant,www.huntress.com,RSS,"Obscura, an Obscure New Ransomware Variant",Huntress found a previously unseen ransomware variant called Obscura on a victim company’s domain controller.,2025-09-02T19:00:00+00:00,NFS / File-Share Exposure,0.6791,"dom_w=0.75, rec=1.0, cat_hits=1, sig=1",New,,2025-09-05T19:23:41.073183,,1,0,0,1,0,0,0,1,2,2,NFS / File-Share Exposure
,https://www.huntress.com/blog/curling-for-data-a-dive-into-a-threat-actors-malicious-ttps,www.huntress.com,RSS,Curling for Data: A Dive into a Threat Actor's Malicious TTPs | Huntress,"Huntress analysts recently observed a novel set of tactics, techniques, and procedures used by a threat actor for data collection and exfiltration.",2023-12-14T00:00:00+00:00,NFS / File-Share Exposure,0.633,"dom_w=0.75, rec=0.96, cat_hits=1, sig=0",New,,2025-09-05T19:23:41.084558,,1,0,0,1,0,0,0,1,2,2,NFS / File-Share Exposure
,https://www.huntress.com/blog/exposing-data-exfiltration-lolbin-ttp-binaries,www.huntress.com,RSS,"Exposing Data Exfiltration: Detecting LOLBins, TTPs, and Ransomware Tactics","Threat actors often steal data during the course of their attacks. This is particularly true for ransomware threat actors, who do it before deploying file encryption in order to engage in “double extortion” activities. This activity can be difficult to detect, particularly if it’s not dissimilar to legitimate actions taken by system administrators.",2025-08-19T14:00:00+00:00,NFS / File-Share Exposure,0.7288,"dom_w=0.75, rec=1.0, cat_hits=2, sig=0",New,,2025-09-05T19:23:41.073633,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://www.huntress.com/blog/examining-the-impact-of-ransomware-on-the-healthcare-sector-and-new-hhs-guidelines,www.huntress.com,RSS,Examining the Impact of Ransomware on the Healthcare Sector and New HHS Guidelines | Huntress,Learn what’s causing a surge in ransomware attacks on healthcare organizations and find out how new guidelines from HHS are addressing the problem.,2024-06-08T06:00:00+00:00,NFS / File-Share Exposure,0.7199,"dom_w=0.75, rec=0.97, cat_hits=2, sig=0",New,,2025-09-05T19:23:41.081934,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://www.huntress.com/blog/using-backup-utilities-for-data-exfiltration,www.huntress.com,RSS,Using Backup Utilities for Data Exfiltration | Huntress,"“Double extortion” attacks, often perpetrated by ransomware threat actors, include data exfiltration prior to file encryption. Huntress analysts have observed various means of data exfiltration, but recently observed the use of a legitimate backup application seen by others to be associated with a Noberus/ALPHV ransomware affiliate.",2024-03-13T00:00:00+00:00,NFS / File-Share Exposure,0.7181,"dom_w=0.75, rec=0.96, cat_hits=2, sig=0",New,,2025-09-05T19:23:41.083063,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://unit42.paloaltonetworks.com/ak47-activity-linked-to-sharepoint-vulnerabilities/,unit42.paloaltonetworks.com,RSS,Project AK47: Uncovering a Link to the SharePoint Vulnerability Attacks,"<p>Project AK47, a toolset including ransomware, was used to leverage SharePoint exploit chain ToolShell. This activity overlaps with Storm-2603.</p>
<p>The post <a href=""https://unit42.paloaltonetworks.com/ak47-activity-linked-to-sharepoint-vulnerabilities/"">Project AK47: Uncovering a Link to the SharePoint Vulnerability Attacks</a> appeared first on <a href=""https://unit42.paloaltonetworks.com"">Unit 42</a>.</p>",2025-08-05T23:00:47+00:00,NFS / File-Share Exposure,0.7152,"dom_w=0.95, rec=1.0, cat_hits=1, sig=0",New,,2025-09-05T18:05:24.764102,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://www.huntress.com/blog/the-value-of-managed-edr-for-the-modern-msp,www.huntress.com,RSS,The Value of Managed EDR for the Modern MSP | Huntress,"Our partners at Clear Guidance Partners experienced the value of our EDR capabilities in real-time, pitting them against an active ransomware attack.",2022-12-13T00:00:00+00:00,NFS / File-Share Exposure,0.7091,"dom_w=0.75, rec=0.93, cat_hits=2, sig=0",New,,2025-09-05T19:23:41.088857,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://www.microsoft.com/en-us/security/blog/2025/08/27/storm-0501s-evolving-techniques-lead-to-cloud-based-ransomware/,www.microsoft.com,RSS,Storm-0501’s evolving techniques lead to cloud-based ransomware,"<p>Financially motivated threat actor Storm-0501 has continuously evolved their campaigns to achieve sharpened focus on cloud-based tactics, techniques, and procedures (TTPs). While the threat actor has been known for targeting hybrid cloud environments, their primary objective has shifted from deploying on-premises endpoint ransomware to using cloud-based ransomware tactics. </p>
<p>The post <a href=""https://www.microsoft.com/en-us/security/blog/2025/08/27/storm-0501s-evolving-techniques-lead-to-cloud-based-ransomware/"">Storm-0501’s evolving techniques lead to cloud-based ransomware</a> appeared first on <a href=""https://www.microsoft.com/en-us/security/blog"">Microsoft Security Blog</a>.</p>",2025-08-27T16:00:00+00:00,NFS / File-Share Exposure,0.6981,"dom_w=0.9, rec=1.0, cat_hits=1, sig=0",New,,2025-09-05T18:05:36.122367,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://blog.talosintelligence.com/ransomware_incidents_in_japan_during_the_first_half_of_2025/,blog.talosintelligence.com,RSS,Ransomware incidents in Japan during the first half of 2025,Ransomware attackers continue to primarily target small and medium-sized manufacturing businesses in Japan.,2025-08-19T10:00:36+00:00,NFS / File-Share Exposure,0.698,"dom_w=0.9, rec=1.0, cat_hits=1, sig=0",New,,2025-09-05T18:05:25.265172,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://www.microsoft.com/en-us/security/blog/2025/08/21/think-before-you-clickfix-analyzing-the-clickfix-social-engineering-technique/,www.microsoft.com,RSS,Think before you Click(Fix): Analyzing the ClickFix social engineering technique,"<p>The ClickFix social engineering technique has been growing in popularity, with campaigns targeting thousands of enterprise and end-user devices daily. This technique exploits users’ tendency to resolve technical issues by tricking them into running malicious commands. These commands, in turn, deliver payloads that ultimately lead to information theft and exfiltration.</p>
<p>The post <a href=""https://www.microsoft.com/en-us/security/blog/2025/08/21/think-before-you-clickfix-analyzing-the-clickfix-social-engineering-technique/"">Think before you Click(Fix): Analyzing the ClickFix social engineering technique</a> appeared first on <a href=""https://www.microsoft.com/en-us/security/blog"">Microsoft Security Blog</a>.</p>",2025-08-21T16:00:00+00:00,NFS / File-Share Exposure,0.698,"dom_w=0.9, rec=1.0, cat_hits=1, sig=0",New,,2025-09-05T18:05:36.122674,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://thedfirreport.com/2025/09/08/blurring-the-lines-intrusion-shows-connection-with-three-major-ransomware-gangs/,thedfirreport.com,RSS,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,"Key Takeaways Private Threat Briefs: 20+ private DFIR reports annually. Contact us today for pricing or a demo! Table of Contents: Case Summary Analysts Initial Access Execution Persistence Privilege Escalation Defense &#8230; <a class=""more-link"" href=""https://thedfirreport.com/2025/09/08/blurring-the-lines-intrusion-shows-connection-with-three-major-ransomware-gangs/"">Read More</a>",2025-09-08T14:20:31+00:00,NFS / File-Share Exposure,0.6808,"dom_w=0.85, rec=1.0, cat_hits=1, sig=0",New,,2025-09-08T23:34:25.169033,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://thedfirreport.com/2025/08/05/from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira/,thedfirreport.com,RSS,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,"Overview Bumblebee malware has been an initial access tool used by threat actors since late 2021. In 2023 the malware was first reported as using SEO poisoning as a delivery &#8230; <a class=""more-link"" href=""https://thedfirreport.com/2025/08/05/from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira/"">Read More</a>",2025-08-05T12:00:57+00:00,NFS / File-Share Exposure,0.6801,"dom_w=0.85, rec=1.0, cat_hits=1, sig=0",New,,2025-09-08T23:34:25.169231,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://thedfirreport.com/2025/07/14/kongtuke-filefix-leads-to-new-interlock-rat-variant/,thedfirreport.com,RSS,KongTuke FileFix Leads to New Interlock RAT Variant,"Researchers from The DFIR Report, in partnership with Proofpoint, have identified a new and resilient variant of the Interlock ransomware group&#8217;s remote access trojan (RAT). This new malware, a shift &#8230; <a class=""more-link"" href=""https://thedfirreport.com/2025/07/14/kongtuke-filefix-leads-to-new-interlock-rat-variant/"">Read More</a>",2025-07-14T00:50:41+00:00,NFS / File-Share Exposure,0.6797,"dom_w=0.85, rec=1.0, cat_hits=1, sig=0",New,,2025-09-08T23:34:25.169415,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
,https://thedfirreport.com/2025/03/31/fake-zoom-ends-in-blacksuit-ransomware/,thedfirreport.com,RSS,Fake Zoom Ends in BlackSuit Ransomware,"Key Takeaways Case Summary This case from May 2024 started with a malicious download from a website mimicking the teleconferencing application Zoom. When visiting the website and downloading a file &#8230; <a class=""more-link"" href=""https://thedfirreport.com/2025/03/31/fake-zoom-ends-in-blacksuit-ransomware/"">Read More</a>",2025-03-31T00:01:24+00:00,NFS / File-Share Exposure,0.6775,"dom_w=0.85, rec=0.99, cat_hits=1, sig=0",New,,2025-09-08T23:34:25.170054,,1,0,0,0,0,0,0,0,1,1,NFS / File-Share Exposure
